Configuration:
  Dataset:
    path: /workspace/financebench
    filter_numerical: true
    samples: all

  Models:
    local: meta-llama/Llama-3.1-8B-Instruct (temp=0.2, ctx=4096)
    remote: gpt-4o (temp=0.0)

  Protocols: minions
    max_rounds: 5
    num_samples_per_task: 1

  MINIONS Settings:
    num_tasks_per_round: 12
    chunk_fn: chunk_by_section
    max_chunk_size: 3000

  Global:
    output_dir: evaluate/results
    skip_accuracy: true
    use_cache: true
    git_auto_commit: true

Total runtime: 4h 58m 34.4s

================================================================================
PER-QUERY DETAILS
================================================================================

MINIONS:
--------------------------------------------------------------------------------
Sample ID                                     Cost ($)     Input Tok    Output Tok  
--------------------------------------------------------------------------------
financebench_open_source_line_3               0.0391       11964        923         
financebench_open_source_line_4               0.1343       45742        1991        
financebench_open_source_line_6               0.0586       15378        2013        
financebench_open_source_line_9               0.0841       24899        2184        
financebench_open_source_line_10              0.1366       50444        1047        
financebench_open_source_line_11              0.0673       17726        2303        
financebench_open_source_line_12              0.0470       15292        877         
financebench_open_source_line_13              0.0594       15883        1965        
financebench_open_source_line_14              0.0277       6466         1153        
financebench_open_source_line_17              0.0274       6213         1185        
financebench_open_source_line_18              0.1284       42060        2324        
financebench_open_source_line_19              0.1697       54434        3363        
financebench_open_source_line_20              0.0447       14480        851         
financebench_open_source_line_24              0.3867       131471       5804        
financebench_open_source_line_27              0.0407       11770        1130        
financebench_open_source_line_31              0.1148       36078        2463        
financebench_open_source_line_32              0.0192       4046         913         
financebench_open_source_line_35              0.0301       7880         1036        
financebench_open_source_line_36              0.0183       4207         779         
financebench_open_source_line_41              0.0000       0            0           
financebench_open_source_line_42              0.0717       24029        1158        
financebench_open_source_line_43              0.0177       4012         765         
financebench_open_source_line_47              0.0667       19120        1893        
financebench_open_source_line_48              0.1005       36327        973         
financebench_open_source_line_49              0.0983       27335        2992        
financebench_open_source_line_51              0.0377       11468        908         
financebench_open_source_line_53              0.0164       4088         615         
financebench_open_source_line_57              0.0620       16470        2086        
financebench_open_source_line_58              0.0204       4890         817         
financebench_open_source_line_61              0.0258       7219         773         
financebench_open_source_line_63              0.1781       49189        5512        
financebench_open_source_line_68              0.1565       53565        2262        
financebench_open_source_line_69              0.0742       21519        2036        
financebench_open_source_line_70              0.0738       25758        945         
financebench_open_source_line_71              0.1630       55728        2370        
financebench_open_source_line_72              0.0185       3628         946         
financebench_open_source_line_73              0.0229       5142         1007        
financebench_open_source_line_74              0.2024       66367        3650        
financebench_open_source_line_76              0.1124       36621        2080        
financebench_open_source_line_77              0.2015       71310        2322        
financebench_open_source_line_82              0.2857       91273        5751        
financebench_open_source_line_83              0.0932       29340        1989        
financebench_open_source_line_84              0.0199       4246         932         
financebench_open_source_line_85              0.0726       19775        2314        
financebench_open_source_line_86              0.0470       12428        1589        
financebench_open_source_line_87              0.3579       119130       6010        
financebench_open_source_line_88              0.1139       35813        2440        
financebench_open_source_line_97              0.4413       153309       5807        
financebench_open_source_line_100             0.0240       5189         1099        
financebench_open_source_line_101             0.1182       37761        2384        
financebench_open_source_line_102             0.0664       18231        2080        
financebench_open_source_line_103             0.0180       3763         864         
financebench_open_source_line_105             0.2451       73635        6100        
financebench_open_source_line_112             0.0582       15731        1888        
financebench_open_source_line_113             0.0726       19312        2427        
financebench_open_source_line_115             0.0787       26626        1215        
financebench_open_source_line_117             0.0687       18042        2363        
financebench_open_source_line_118             0.1120       28205        4153        
financebench_open_source_line_119             0.0235       5054         1086        
financebench_open_source_line_124             0.1215       38129        2620        
financebench_open_source_line_125             0.0265       5206         1348        
financebench_open_source_line_145             0.0250       5596         1097        
financebench_open_source_line_146             0.0720       25189        899         
financebench_open_source_line_147             0.0224       5802         790         
financebench_open_source_line_148             0.1449       45197        3187        
financebench_open_source_line_149             0.1171       34097        3189        
financebench_open_source_line_150             0.1013       30198        2578        

================================================================================
EVALUATION SUMMARY
================================================================================
Protocol        Avg Cost ($)    Input Tokens (1k)  Output Tokens (1k)
--------------------------------------------------------------------------------
minions         0.0955          29.80              2.10              
================================================================================

Accuracy rate: 74.24% (49/66 correct, remote verdict with gpt-4o)
