Configuration:
  Dataset:
    path: /workspace/financebench
    filter_numerical: true
    samples: all

  Models:
    local: meta-llama/Llama-3.1-8B-Instruct (temp=0.2, ctx=4096)
    remote: gpt-4o (temp=0.0)

  Protocols: minions
    max_rounds: 4
    num_samples_per_task: 1

  MINIONS Settings:
    num_tasks_per_round: 12
    chunk_fn: chunk_by_section
    max_chunk_size: 3000

  Global:
    output_dir: evaluate/results
    skip_accuracy: true
    use_cache: true
    git_auto_commit: true

Total runtime: 7h 59m 42.1s

================================================================================
PER-QUERY DETAILS
================================================================================

MINIONS:
--------------------------------------------------------------------------------
Sample ID                                     Cost ($)     Input Tok    Output Tok  
--------------------------------------------------------------------------------
financebench_open_source_line_3               0.1643       60503        1304        
financebench_open_source_line_4               0.5854       220739       3357        
financebench_open_source_line_6               0.2454       83728        3606        
financebench_open_source_line_9               0.2714       100402       2038        
financebench_open_source_line_10              0.1849       69420        1134        
financebench_open_source_line_11              0.1579       54511        2167        
financebench_open_source_line_12              0.1260       42756        1909        
financebench_open_source_line_13              0.1428       48520        2152        
financebench_open_source_line_14              0.2939       101043       4129        
financebench_open_source_line_17              0.3435       127259       2535        
financebench_open_source_line_18              0.3244       120816       2231        
financebench_open_source_line_19              0.2244       77821        2987        
financebench_open_source_line_20              0.0530       17905        819         
financebench_open_source_line_24              0.4155       149325       4218        
financebench_open_source_line_27              0.4368       156797       4483        
financebench_open_source_line_31              0.2957       104794       3376        
financebench_open_source_line_32              0.1443       49792        1986        
financebench_open_source_line_35              0.3381       119130       4024        
financebench_open_source_line_36              0.0994       32089        1920        
financebench_open_source_line_41              0.5634       208242       4283        
financebench_open_source_line_42              0.8473       321698       4307        
financebench_open_source_line_43              0.3380       127716       1873        
financebench_open_source_line_47              0.1962       70745        1929        
financebench_open_source_line_48              0.5171       194224       3154        
financebench_open_source_line_49              0.0220       4009         1199        
financebench_open_source_line_51              0.0542       17838        962         
financebench_open_source_line_53              0.0532       17766        878         
financebench_open_source_line_57              0.2503       88018        3027        
financebench_open_source_line_58              0.1966       70304        2086        
financebench_open_source_line_61              0.1164       43601        743         
financebench_open_source_line_63              0.5549       205326       4162        
financebench_open_source_line_68              0.2679       97594        2387        
financebench_open_source_line_69              0.3146       116519       2329        
financebench_open_source_line_70              0.2382       87476        1953        
financebench_open_source_line_71              0.3167       116298       2592        
financebench_open_source_line_72              0.1642       56555        2277        
financebench_open_source_line_73              0.2587       88271        3807        
financebench_open_source_line_74              0.1912       67898        2148        
financebench_open_source_line_76              0.0000       0            0           
financebench_open_source_line_77              0.0000       0            0           
financebench_open_source_line_82              0.2812       105613       1720        
financebench_open_source_line_83              0.1870       67500        1824        
financebench_open_source_line_84              0.1710       60785        1907        
financebench_open_source_line_85              0.1693       60453        1820        
financebench_open_source_line_86              0.0000       0            0           
financebench_open_source_line_87              0.5264       191912       4659        
financebench_open_source_line_88              0.3603       131299       3209        
financebench_open_source_line_97              0.0000       0            0           
financebench_open_source_line_100             0.2314       83843        2184        
financebench_open_source_line_101             0.1689       59356        2054        
financebench_open_source_line_102             0.0799       28317        912         
financebench_open_source_line_103             0.0778       27615        881         
financebench_open_source_line_105             0.1842       68739        1233        
financebench_open_source_line_112             0.0557       18423        967         
financebench_open_source_line_113             0.1272       40992        2470        
financebench_open_source_line_115             0.1616       55458        2299        
financebench_open_source_line_117             0.1804       63433        2186        
financebench_open_source_line_118             0.0255       6727         870         
financebench_open_source_line_119             0.1657       59028        1816        
financebench_open_source_line_124             0.0000       0            0           
financebench_open_source_line_125             0.0000       0            0           
financebench_open_source_line_145             0.3257       121546       2182        
financebench_open_source_line_146             0.1296       46749        1271        
financebench_open_source_line_147             0.3453       124793       3335        
financebench_open_source_line_148             0.0000       0            0           
financebench_open_source_line_149             0.0886       29943        1371        
financebench_open_source_line_150             0.3016       109962       2671        

================================================================================
EVALUATION SUMMARY
================================================================================
Protocol        Avg Cost ($)    Input Tokens (1k)  Output Tokens (1k)
--------------------------------------------------------------------------------
minions         0.2442          88.33              2.34              
================================================================================

Accuracy rate: 75.00% (45/60 correct, remote verdict with gpt-4o)
